age,d13,ref,d13a,co2,D13_wet,D13_dry,d13_wet,d13_dry
1,-22.1397,roy_2020,-6.3566666666666665,299.936,21.590986343753336,14.960986343753335,-27.356988642239198,-21.003421113961917
1.422,-24.9654,roy_2020,-6.702,213.62938104448713,21.56512472204841,14.935124722048407,-27.670408902946296,-21.318726877221813
1.512,-20.666,roy_2020,-6.803166666666667,228.45090090089988,21.570955682712196,14.940955682712197,-27.774989286394245,-21.424026912730522
1.745,-24.5559,roy_2020,-6.72833333333334,286.8810989010989,21.588073318271768,14.958073318271765,-27.718027834476526,-21.36680048339756
2.183,-23.0339,roy_2020,-6.434333333333332,303.1367019498607,21.59166223892884,14.96166223892884,-27.433657309653608,-21.080594832581383
2.361,-24.9554,roy_2020,-6.146999999999999,336.60720797721183,21.597960223236516,14.967960223236515,-27.158394303345876,-20.80357316756324
2.708,-16.4426,roy_2020,-6.721999999999994,225.0654230769213,21.5696914717618,14.939691471761801,-27.694333248084458,-21.342836085511863
2.729,-19.6475,roy_2020,-6.1728333333333305,294.05257213230095,21.589705553293506,14.959705553293507,-27.175820914905003,-20.82106193083466
2.92,-21.8074,roy_2020,-6.86,242.47464155528618,21.575816461973726,14.945816461973727,-27.83524825446198,-21.484709930612052
3.262,-15.6427,roy_2020,-6.159000000000002,364.18623287671227,21.602279720465162,14.972279720465162,-27.174253886807413,-20.819563393677072
3.398,-21.113,roy_2020,-6.1944958677685955,249.87147377302742,21.578160496434098,14.948160496434097,-27.186031806618324,-20.831267238182235
3.5687,-14.5773,roy_2020,-6.205781818181818,272.56709991708124,21.584558629761844,14.954558629761843,-27.203171987268963,-20.84855944340124
3.859,-21.1701,roy_2020,-6.22497520661157,328.5858652982681,21.59656778477805,14.966567784778048,-27.233395127508736,-20.879055196508943
4.072,-15.3297,roy_2020,-6.23905785123967,305.6528956145769,21.592183647609836,14.962183647609834,-27.24300552053722,-20.888700919531477
4.236,-15.0149,roy_2020,-6.249900826446281,376.56907612332105,21.604013338541606,14.974013338541607,-27.264883263293907,-20.910795632270748
4.724,-14.7915,roy_2020,-6.2821652892561985,393.7038219520915,21.60623237588906,14.97623237588906,-27.29857824015704,-20.94472460244997
4.815,-20.6368,roy_2020,-6.288181818181818,417.90324991061857,21.609056351550016,14.979056351550014,-27.307156290646667,-20.95337636441404
5.424,-18.8865,roy_2020,-6.328446280991735,314.4019704293429,21.593931680441504,14.963931680441505,-27.33216897197415,-20.978457752858436
5.864,-21.5141,roy_2020,-6.406666666666666,282.388220192545,21.587008495301582,14.95700849530158,-27.402144828760314,-21.048847372994064
6.838,-19.4097,roy_2020,-6.1695714285714285,353.65207493197533,21.60070935288958,14.97070935288958,-27.183106400788898,-20.828463902115285
6.92,-29.0556,roy_2020,-6.141538461538462,385.98752459359514,21.60525745969325,14.97525745969325,-27.159997189351234,-20.80523221234317
7.225,-20.7795,roy_2020,-5.99125,417.86672413793104,21.60905233561105,14.97905233561105,-27.016501344140416,-20.66082278974665
7.704,-26.2491,roy_2020,-5.8541904761904755,411.87757241379313,21.60838420616719,14.97838420616719,-26.881704483756018,-20.525141231112222
7.932,-24.6225,roy_2020,-6.0601,409.02678620689653,21.608059308956143,14.978059308956142,-27.082949333496497,-20.727698609839795
8.608,-25.8691,roy_2020,-5.811000000000011,485.86682352941176,21.615482998488087,14.985482998488088,-26.8461896426923,-20.48943886079115
8.734,-24.7652,roy_2020,-5.7071428571428555,476.95973529411765,21.61474502965505,14.98474502965505,-26.743826887507204,-20.38640283819571
9.437,-25.9162,roy_2020,-6.004999999999999,NA,NA,NA,NA,NA
9.714,-24.7847,roy_2020,-6.0200000000000005,NA,NA,NA,NA,NA
10.127,-25.2032,roy_2020,-6.132000000000016,NA,NA,NA,NA,NA
10.3459,-24.8127,roy_2020,-5.959000000000006,NA,NA,NA,NA,NA
10.979,-27.3434,roy_2020,-6.186666666666666,NA,NA,NA,NA,NA
11.067,-23.7289,roy_2020,-6.137999999999999,NA,NA,NA,NA,NA
11.346,-24.7366,roy_2020,-5.959600000000002,NA,NA,NA,NA,NA
11.623,-23.8615,roy_2020,-5.968624999999999,NA,NA,NA,NA,NA
11.677,-24.0422,roy_2020,-5.9325,NA,NA,NA,NA,NA
11.956,-25.7644,roy_2020,-6.126799999999999,NA,NA,NA,NA,NA
12.028,-25.6503,roy_2020,-6.186000000000008,NA,NA,NA,NA,NA
12.29,-25.3549,roy_2020,-5.993333333333332,NA,NA,NA,NA,NA
12.65,-24.261,roy_2020,-6.06,NA,NA,NA,NA,NA
12.7,-23.5767,roy_2020,-6.224999999999985,NA,NA,NA,NA,NA
