"","depth_cm","d13o","n","d13o.se","age","d13o.low","d13o.high","d13a","co2","D13_wet","D13_dry","d13_wet","d13_dry"
"103",5415,-24.958,5,0.186959888746223,7.148125,-25.1449598887462,-24.7710401112538,-5.98301339285714,418.827926724138,21.6091577846774,14.9791577846774,-27.0085393883579,-20.6528094855536
"104",5432,-24.7,4,0.294872853955735,7.163,-24.9948728539557,-24.4051271460443,-5.98460714285714,418.641937931034,21.6091374184945,14.9791374184945,-27.0100800302925,-20.6543600636669
"105",5438,-24.46,2,0.470000000000001,7.16825,-24.93,-23.99,-5.98516964285714,418.576294827586,21.6091302261087,14.9791302261087,-27.0106237821685,-20.6549073223758
"106",5461,-24.48,2,0.0599999999999987,7.19112352941176,-24.54,-24.42,-5.98762037815126,418.2902968357,21.6090988635279,14.9790988635279,-27.0129928094598,-20.6572916281287
"107",5494,-23.97,2,0.34,7.22431764705882,-24.31,-23.63,-5.9911768907563,417.875255902637,21.6090532737251,14.9790532737251,-27.0164306747645,-20.6607516646219
"108",5510,-24.275,2,0.0950000000000006,7.24041176470588,-24.37,-24.18,-5.9929012605042,417.674023935091,21.6090311369639,14.9790311369639,-27.0180974875971,-20.6624292267158
"109",5530,-24.265,2,0.0850000000000009,7.2605294117647,-24.35,-24.18,-5.99505672268908,417.422483975659,21.6090034359981,14.9790034359981,-27.0201809751538,-20.664526150476
"110",5545,-24.49,4,0.226384628453435,7.27561764705882,-24.7163846284534,-24.2636153715466,-5.99667331932773,417.233829006085,21.6089826383548,14.9789826383548,-27.0217435700199,-20.6660988222219
"111",5550,-24.5166666666667,3,0.282626569483086,7.28064705882353,-24.7992932361498,-24.2340400971836,-5.99721218487395,417.170944016227,21.6089757016269,14.9789757016269,-27.0222644310082,-20.6666230421183
"112",5570,-24.205,2,0.0149999999999988,7.30076470588235,-24.22,-24.19,-5.99936764705882,416.919404056795,21.6089479337897,14.9789479337897,-27.0243478551029,-20.6687199015846
"113",5600,-25.1925,4,0.441444126324801,7.33094117647059,-25.6339441263248,-24.7510558736752,-6.00260084033613,416.542094117647,21.6089062191525,14.9789062191525,-27.0274729315697,-20.6718651303265
"114",5660,-24.82,1,0,7.36528571428571,-24.82,-24.82,-6.0062806122449,416.112668965517,21.6088586507166,14.9788586507166,-27.0310295658888,-20.6754446992704
"115",5680,-24.52,1,0,7.375,-24.52,-24.52,-6.00732142857143,415.991206896552,21.6088451782593,14.9788451782593,-27.0320355360784,-20.6764571562523
"116",5758,-25.07,4,0.405565448889983,7.484,-25.47556544889,-24.66443455111,-5.98685714285714,414.628331034483,21.6086934681909,14.9786934681909,-27.0118596165874,-20.6561484945153
